2015-05-06 10:04:08.887 - error: middlewareError date=Wed May 06 2015 10:04:08 GMT+0800 (中国标准时间), pid=8428, uid=null, gid=null, cwd=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo, execPath=E:\node\node.exe, version=v0.10.36, argv=[node, D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\bin\www.4000], rss=50896896, heapTotal=52044288, heapUsed=24411832, loadavg=[0, 0, 0], uptime=2021.2684207, trace=[column=17, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\application.js, function=EventEmitter.app.render, line=519, method=app.render, native=false, column=7, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\response.js, function=ServerResponse.res.render, line=933, method=res.render, native=false, column=6, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\app.js, function=app.use.expressWinston.errorLogger.winstonInstance, line=79, method=use.expressWinston.errorLogger.winstonInstance, native=false, column=5, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\layer.js, function=Layer.handle [as handle_request], line=82, method=handle [as handle_request], native=false, column=13, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=trim_prefix, line=302, method=null, native=false, column=7, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=null, line=270, method=null, native=false, column=12, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=Function.proto.process_params, line=321, method=proto.process_params, native=false, column=10, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=next, line=261, method=null, native=false, column=15, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=null, line=603, method=null, native=false, column=14, file=D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js, function=next, line=246, method=null, native=false], stack=[Error: Failed to lookup view "notfound" in views directory "D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\views",     at EventEmitter.app.render (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\application.js:519:17),     at ServerResponse.res.render (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\response.js:933:7),     at app.use.expressWinston.errorLogger.winstonInstance (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\app.js:79:6),     at Layer.handle [as handle_request] (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\layer.js:82:5),     at trim_prefix (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:302:13),     at D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:270:7,     at Function.proto.process_params (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:321:12),     at next (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:261:10),     at D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:603:15,     at next (D:\niuwap2p\niuwa-p2pweb\niuwap2p_promo\node_modules\express\lib\router\index.js:246:14)], url=/, host=localhost:4000, connection=keep-alive, accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, user-agent=Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36, accept-encoding=gzip, deflate, sdch, accept-language=zh-CN,zh;q=0.8,en;q=0.6,ko;q=0.4, cookie=CNZZDATA5578006=cnzz_eid%3D1474633657-1429248517-%26ntime%3D1429248517; nw_udname=tttttt, method=GET, httpVersion=1.1, originalUrl=/, 
2015-05-06 10:04:08.901 - debug: HTTP GET / 500  28ms
2015-05-06 10:04:17.223 - debug: HTTP GET /earlybird 304  8ms
2015-05-06 10:04:17.374 - debug: HTTP GET /css/jquery.fullPage.css 304  1ms
2015-05-06 10:04:17.394 - debug: HTTP GET /css/earlybird.css 304  3ms
2015-05-06 10:04:17.395 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  3ms
2015-05-06 10:04:17.396 - debug: HTTP GET /js/libs/jquery-ui-1.10.3.min.js 304  3ms
2015-05-06 10:04:17.396 - debug: HTTP GET /js/libs/jquery.fullPage.min.js 304  4ms
2015-05-06 10:04:17.396 - debug: HTTP GET /images/h7n9.jpg 304  4ms
2015-05-06 10:04:17.553 - debug: HTTP GET /images/shenshi.png 304  1ms
2015-05-06 10:04:17.582 - debug: HTTP GET /images/zhuangbei.jpg 304  0ms
2015-05-06 10:04:17.593 - debug: HTTP GET /images/bit.jpg 304  1ms
2015-05-06 10:04:17.595 - debug: HTTP GET /images/guomu.jpg 304  2ms
2015-05-06 10:04:17.609 - debug: HTTP GET /images/zhuli.jpg 304  1ms
2015-05-06 10:04:17.610 - debug: HTTP GET /images/xiaohuangren.png 304  2ms
2015-05-06 10:04:17.622 - debug: HTTP GET /images/sinuodeng.jpg 304  0ms
2015-05-06 10:04:17.640 - debug: HTTP GET /images/wumai.jpg 304  0ms
2015-05-06 10:04:17.651 - debug: HTTP GET /images/dama.jpg 304  1ms
2015-05-06 10:04:17.652 - debug: HTTP GET /images/18da.jpg 304  1ms
2015-05-06 10:04:17.653 - debug: HTTP GET /images/hengda.jpg 304  1ms
2015-05-06 10:04:17.653 - debug: HTTP GET /images/chenqie.jpg 304  1ms
2015-05-06 10:04:17.667 - debug: HTTP GET /images/jingdai.png 304  0ms
2015-05-06 10:04:17.752 - debug: HTTP GET /images/cezhi.jpg 304  0ms
2015-05-06 10:04:17.754 - debug: HTTP GET /images/changfa.jpg 304  1ms
2015-05-06 10:04:17.754 - debug: HTTP GET /images/zhongguoshisheng.png 304  1ms
2015-05-06 10:04:17.776 - debug: HTTP GET /images/beijingxinwen.png 304  1ms
2015-05-06 10:04:17.777 - debug: HTTP GET /images/jiangxijiaotong.png 304  2ms
2015-05-06 10:04:17.778 - debug: HTTP GET /images/jinanjiaotong.png 304  1ms
2015-05-06 10:04:17.830 - debug: HTTP GET /images/zhejiangjiaotong.png 304  0ms
2015-05-06 10:04:17.849 - debug: HTTP GET /images/hubeijiaotong.png 304  0ms
2015-05-06 10:04:17.851 - debug: HTTP GET /images/xichuanwenyi.png 304  1ms
2015-05-06 10:04:17.851 - debug: HTTP GET /images/hunanjiaotong.png 304  1ms
2015-05-06 10:04:17.854 - debug: HTTP GET /images/heibeixinwen.png 304  1ms
2015-05-06 10:04:17.855 - debug: HTTP GET /images/weibo.png 304  2ms
2015-05-06 10:04:17.856 - debug: HTTP GET /images/bg-kj_4d6c383.png 304  2ms
2015-05-06 10:04:17.874 - debug: HTTP GET /images/num-keji_3f60772.png 304  1ms
2015-05-06 10:04:17.875 - debug: HTTP GET /images/renwu-bg_c26f167.png 304  0ms
2015-05-06 10:04:17.892 - debug: HTTP GET /images/num-renwu_3294764.png 304  0ms
2015-05-06 10:04:17.895 - debug: HTTP GET /images/bj-so_ff09f3c.png 304  2ms
2015-05-06 10:04:17.933 - debug: HTTP GET /images/num-shehui_e0faa81.png 304  1ms
2015-05-06 10:04:17.984 - debug: HTTP GET /images/bj-net_3cad4e6.png 304  1ms
2015-05-06 10:04:17.994 - debug: HTTP GET /images/num-net_d930c09.png 304  2ms
2015-05-06 10:49:41.277 - debug: HTTP GET /earlybird 200  11ms
2015-05-06 10:49:41.399 - debug: HTTP GET /css/jquery.fullPage.css 304  1ms
2015-05-06 10:49:41.404 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  4ms
2015-05-06 10:49:41.406 - debug: HTTP GET /js/libs/jquery-ui-1.10.3.min.js 304  4ms
2015-05-06 10:49:41.407 - debug: HTTP GET /js/libs/jquery.fullPage.min.js 304  4ms
2015-05-06 10:49:41.409 - debug: HTTP GET /css/earlybird.css 200  10ms
2015-05-06 10:49:41.411 - debug: HTTP GET /imgs/pageone.png 200  5ms
2015-05-06 10:49:41.487 - debug: HTTP GET /images/h7n9.jpg 304  1ms
2015-05-06 10:49:41.488 - debug: HTTP GET /images/shenshi.png 304  2ms
2015-05-06 10:49:41.515 - debug: HTTP GET /images/zhuangbei.jpg 304  29ms
2015-05-06 10:49:41.516 - debug: HTTP GET /images/bit.jpg 304  27ms
2015-05-06 10:49:41.518 - debug: HTTP GET /images/guomu.jpg 304  3ms
2015-05-06 10:49:41.520 - debug: HTTP GET /images/zhuli.jpg 304  3ms
2015-05-06 10:49:41.520 - debug: HTTP GET /images/xiaohuangren.png 304  3ms
2015-05-06 10:49:41.521 - debug: HTTP GET /images/sinuodeng.jpg 304  3ms
2015-05-06 10:49:41.522 - debug: HTTP GET /images/wumai.jpg 304  2ms
2015-05-06 10:49:41.524 - debug: HTTP GET /images/dama.jpg 304  2ms
2015-05-06 10:49:41.526 - debug: HTTP GET /images/18da.jpg 304  3ms
2015-05-06 10:49:41.528 - debug: HTTP GET /images/hengda.jpg 304  3ms
2015-05-06 10:49:41.530 - debug: HTTP GET /images/chenqie.jpg 304  2ms
2015-05-06 10:49:41.533 - debug: HTTP GET /images/jingdai.png 304  4ms
2015-05-06 10:49:41.534 - debug: HTTP GET /images/cezhi.jpg 304  4ms
2015-05-06 10:49:41.536 - debug: HTTP GET /images/changfa.jpg 304  4ms
2015-05-06 10:49:41.538 - debug: HTTP GET /images/zhongguoshisheng.png 304  2ms
2015-05-06 10:49:41.541 - debug: HTTP GET /images/beijingxinwen.png 304  4ms
2015-05-06 10:49:41.543 - debug: HTTP GET /images/jiangxijiaotong.png 304  3ms
2015-05-06 10:49:41.543 - debug: HTTP GET /images/jinanjiaotong.png 304  3ms
2015-05-06 10:49:41.544 - debug: HTTP GET /images/zhejiangjiaotong.png 304  2ms
2015-05-06 10:49:41.547 - debug: HTTP GET /images/hubeijiaotong.png 304  1ms
2015-05-06 10:49:41.549 - debug: HTTP GET /images/xichuanwenyi.png 304  2ms
2015-05-06 10:49:41.551 - debug: HTTP GET /images/hunanjiaotong.png 304  1ms
2015-05-06 10:49:41.552 - debug: HTTP GET /images/heibeixinwen.png 304  1ms
2015-05-06 10:49:41.553 - debug: HTTP GET /images/weibo.png 304  1ms
2015-05-06 10:49:41.559 - debug: HTTP GET /images/bg-kj_4d6c383.png 304  4ms
2015-05-06 10:49:41.560 - debug: HTTP GET /images/num-keji_3f60772.png 304  2ms
2015-05-06 10:49:41.563 - debug: HTTP GET /images/renwu-bg_c26f167.png 304  2ms
2015-05-06 10:49:41.565 - debug: HTTP GET /images/num-renwu_3294764.png 304  3ms
2015-05-06 10:49:41.566 - debug: HTTP GET /images/bj-so_ff09f3c.png 304  4ms
2015-05-06 10:49:41.568 - debug: HTTP GET /images/num-shehui_e0faa81.png 304  5ms
2015-05-06 10:49:41.571 - debug: HTTP GET /images/bj-net_3cad4e6.png 304  1ms
2015-05-06 10:49:41.572 - debug: HTTP GET /images/num-net_d930c09.png 304  2ms
2015-05-06 10:49:51.352 - debug: HTTP GET /css/jquery.fullPage.css 304  1ms
2015-05-06 10:49:51.354 - debug: HTTP GET /css/earlybird.css 304  2ms
2015-05-06 10:53:32.351 - debug: HTTP GET /earlybird 200  8ms
2015-05-06 10:53:32.471 - debug: HTTP GET /css/jquery.fullPage.css 304  0ms
2015-05-06 10:53:32.473 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  0ms
2015-05-06 10:53:32.474 - debug: HTTP GET /js/libs/jquery-ui-1.10.3.min.js 304  1ms
2015-05-06 10:53:32.475 - debug: HTTP GET /css/earlybird.css 200  3ms
2015-05-06 10:53:32.487 - debug: HTTP GET /imgs/pageone.png 304  0ms
