2015-05-19 08:43:51.268 - debug: HTTP GET /clause2 200  15ms
2015-05-19 08:43:51.290 - debug: HTTP GET /css/niuwah5.css 200  1ms
2015-05-19 08:50:07.911 - debug: HTTP GET /help 200  6ms
2015-05-19 08:50:07.938 - debug: HTTP GET /css/niuwah5.css 304  0ms
2015-05-19 08:50:07.945 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 200  1ms
2015-05-19 08:52:08.769 - debug: HTTP GET /help 304  6ms
2015-05-19 08:52:08.791 - debug: HTTP GET /css/niuwah5.css 304  0ms
2015-05-19 08:52:08.794 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  1ms
2015-05-19 09:22:34.879 - debug: HTTP GET /clause2 304  5ms
2015-05-19 09:22:34.904 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 09:29:43.501 - debug: HTTP GET /help 304  6ms
2015-05-19 09:29:43.515 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 09:29:43.520 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  0ms
2015-05-19 09:38:28.555 - debug: HTTP GET /help 200  4ms
2015-05-19 09:38:28.872 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 200  1ms
2015-05-19 09:38:28.873 - debug: HTTP GET /css/niuwah5.css 304  0ms
2015-05-19 09:39:32.025 - debug: HTTP GET /help 304  5ms
2015-05-19 09:39:32.031 - debug: HTTP GET /css/niuwah5.css 304  0ms
2015-05-19 09:39:32.032 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  0ms
2015-05-19 09:40:28.737 - debug: HTTP GET /clause2 200  7ms
2015-05-19 09:40:28.763 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 09:43:20.843 - debug: HTTP GET /help 304  6ms
2015-05-19 09:43:20.848 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 09:43:20.855 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  1ms
2015-05-19 09:46:44.378 - debug: HTTP GET /help 200  4ms
2015-05-19 09:46:44.429 - debug: HTTP GET /css/niuwah5.css 200  0ms
2015-05-19 09:46:44.431 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 200  0ms
2015-05-19 09:49:23.055 - debug: HTTP GET /clause2 304  7ms
2015-05-19 09:49:23.076 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 15:37:57.626 - debug: HTTP GET /help 304  23ms
2015-05-19 15:37:57.668 - debug: HTTP GET /css/niuwah5.css 304  2ms
2015-05-19 15:37:57.675 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  1ms
2015-05-19 15:45:34.885 - debug: HTTP GET /help 200  11ms
2015-05-19 15:45:34.977 - debug: HTTP GET /css/niuwah5.css 304  1ms
2015-05-19 15:45:34.978 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  2ms
2015-05-19 15:45:41.533 - debug: HTTP GET /tixian 200  73ms
2015-05-19 15:45:41.755 - debug: HTTP GET /css/niuwah5.css 304  0ms
2015-05-19 15:46:59.063 - debug: HTTP GET /help 200  3ms
2015-05-19 15:46:59.215 - debug: HTTP GET /css/niuwah5.css 304  3ms
2015-05-19 15:46:59.246 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 200  35ms
2015-05-19 15:50:37.770 - debug: HTTP GET /clause2 304  71ms
2015-05-19 15:50:37.793 - debug: HTTP GET /css/niuwah5.css 304  2ms
2015-05-19 15:56:47.828 - debug: HTTP GET /help 304  10ms
2015-05-19 15:56:47.845 - debug: HTTP GET /css/niuwah5.css 304  2ms
2015-05-19 15:56:47.847 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  1ms
2015-05-19 15:57:04.790 - debug: HTTP GET /help 304  8ms
2015-05-19 15:57:04.799 - debug: HTTP GET /css/niuwah5.css 304  2ms
2015-05-19 15:57:04.803 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  3ms
2015-05-19 16:04:24.887 - debug: HTTP GET /help 304  8ms
2015-05-19 16:04:24.894 - debug: HTTP GET /css/niuwah5.css 304  3ms
2015-05-19 16:04:24.895 - debug: HTTP GET /js/libs/jquery-1.8.3.min.js 304  3ms
2015-05-19 16:05:05.382 - debug: HTTP GET /hongbao 200  74ms
2015-05-19 16:05:05.389 - debug: HTTP GET /css/niuwah5.css 304  1ms
